userid,serviceid
79716,4288
26061,26787
19639,14608
14951,28611
67635,29846
61082,15695
36085,1041
81050,27142
9327,1556
30239,6716
44656,22360
75930,18965
70648,20842
74521,31950
27689,7333
16350,9000
75937,17883
68864,34849
79281,795
11809,28916
30148,10628
67110,10196
54715,12575
60635,35181
18832,21409
61111,20740
77981,39438
30574,28227
79466,4485
57129,8114
69581,4690
17776,28808
46192,12361
21612,33206
36394,34560
5171,606
10924,28237
428,13243
5859,40469
78086,22271
79938,25421
18961,37436
27737,11586
15841,27222
81766,241
77438,39896
27475,21814
21415,28705
23302,38181
27604,32257
70890,30912
20234,38458
65022,19777
11312,7913
8271,1741
16910,13002
20916,36325
19879,18114
45676,1358
12250,36481
56631,34235
74941,34471
31711,4532
73029,8433
10827,26978
2940,10803
16078,923
26264,23287
49857,28647
58222,3876
51741,36468
70061,18378
75382,1831
45221,30205
23285,40369
74581,34353
14328,6898
4269,1239
6636,4128
24166,13209
30186,4459
22766,3460
70714,39879
72098,6620
9005,35463
77481,35881
6242,39170
45318,27348
51968,15831
42386,5823
11131,27993
59460,21650
8716,32726
46765,19933
54516,30958
42315,13327
6702,18458
62277,29633
60133,2097
32495,40134
57520,15063
10472,32954
5693,29936
19781,12563
23745,31960
65139,36810
56408,33866
3285,17444
9429,33814
17339,35154
13115,31805
44197,11342
37360,28448
65133,14099
5278,19002
14392,10238
28964,28591
72211,40570
36866,29523
51586,36595
68468,24122
76259,6376
53328,34183
36465,24348
21789,24907
42668,32121
39944,2073
25356,38410
58164,1227
22074,6168
47136,33329
55125,36757
15204,1486
56359,10439
56252,35573
81101,37864
28773,11648
51676,35623
47706,3769
64317,6164
54158,33916
4223,11907
71234,15159
78965,17186
23042,19676
60808,33039
62263,873
17055,2707
35605,10278
77561,10624
77147,29469
48319,27982
8290,10050
43899,9295
81498,27010
3970,18456
33475,4716
68972,1285
26464,38382
60650,36748
63834,1557
49981,4213
42409,33851
64442,36745
9884,22141
17492,19989
76009,19001
78535,9707
77095,10136
58311,2980
57260,17054
62944,13127
2759,10123
61764,16010
74128,12948
54735,19754
31624,22902
45688,36553
24852,12001
13159,19013
25342,21385
82051,23258
38926,34736
70733,7850
16094,1956
8049,1729
45498,24648
68640,29146
68204,24791
56044,1953
50244,21494
70275,1673
58985,25104
54937,2680
51304,23033
49972,16183
26226,30400
20893,7477
52863,14338
37614,19774
30778,35389
79783,20214
82217,19939
69416,25323
33096,6538
57543,4270
46372,26962
41936,8961
43056,8675
76214,38935
75329,21805
24124,8054
10402,34708
